 17082008 12    3 0100073 2 51.0224.68 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100074 2 44.5522.11 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100075 2 46.7523.66 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100076 2 46.7423.02 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100077 2 43.2820.81 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100078 2 42.1620.00 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100079 2 36.8317.71 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100080 2 37.0716.64 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100081 2 36.7316.78 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100082 2 38.2218.50 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100083 2 37.6917.63 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100084 2 36.8617.42 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100085 2 35.7016.35 ****** 1  1 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
