 22092008 19    3 0100080 2 30.2512.30 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100081 2 42.6419.79 ****** 1  3 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100082 2 51.0425.36 ****** 1  3 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100083 2 50.0125.27 ****** 1  3 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100084 2 45.8821.43 ****** 1  3 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100085 2 41.4020.09 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100086 2 36.1315.60 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100087 2 39.6617.87 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100088 2 39.0217.34 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100089 2 40.7418.78 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100090 2 34.1614.43 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100091 2 29.3312.89 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100092 2 39.3217.11 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100093 2 38.3217.29 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100094 2 37.7617.15 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100095 2 39.6517.08 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100096 2 38.8218.25 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100097 2 35.5116.87 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100098 2 36.1216.32 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100099 2 36.8716.86 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100100 2 27.2411.05 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100101 2 36.8916.72 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100102 2 36.0316.20 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100103 2 36.0316.79 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100104 2 39.9317.31 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100105 2 31.8613.83 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100106 2 25.4310.25 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
