 15071997 12    3 0010001 1    86***** ****** 2 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** R1  L1 ARRACHER  
 15071997 12    3 0010179 1    27***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010180 1    52*****     7* 1 ** **00000000 *********1 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010181 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010182 1    47*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010183 1    50*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010184 1    45*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010185 1    51*****     8* 1 ** **00000000 *****11*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010186 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010187 1    49*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010188 1    48*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010189 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010190 1    39***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010191 1    38***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010192 1    53*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010193 1    41*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010194 1    56*****   9.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010195 1    56*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010196 1    39***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010197 1    41*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010198 1    40*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010199 1    52*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010200 1    38***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010201 1    43*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010202 1    38***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010203 1    48*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010204 1    42*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010205 1    42*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010206 1    38*****     5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010207 1    53*****   8.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010208 1    54*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010209 1    56*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010210 1    51*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010211 1    59*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010212 1    59*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010213 1    43*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010214 1    59*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010215 1    45*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010216 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010217 1    57*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010218 1    21***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010219 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010220 1    48*****     7* 1 ** **00000000 ******2*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010221 1    58*****    12* 1 ** **00000000 ****2***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010222 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010223 1    56*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010224 1    51*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010225 1    57*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010226 1    59*****    12* 2 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010227 1    37***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010228 1    37***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010229 1    25***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010230 1    52*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010231 1    57*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010232 1    59*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010233 1    43*****     6* 1 ** **00000000 *****2**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010234 1    56*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010235 1    53*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010236 1    54*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010237 1    53*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010238 1    31***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010239 1    44*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010240 1    52*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010241 1    41*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010242 1    52*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010243 1    47*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010244 1    58*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010245 1    50*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010246 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010247 1    54*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010248 1    40*****     6* 1 ** **00000000 *******11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010249 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010250 1    54*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010251 1    47*****     7* 1 ** **00000000 *****1**1* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010252 1    55*****   8.5* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010253 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010254 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010255 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010256 1    51*****     7* 1 ** **00000000 ****1***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010257 1    57*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010258 1    42*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010259 1    51*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010260 1    46*****     7* 1 ** **00000000 ****1***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010261 1    57*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010262 1    36***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010263 1    37***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010264 1    57*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010265 1    57*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010266 1    76*****    15* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010267 1    85*****    19* 4 ** **00000000 *********1 LC 014960.4 030328.1  43 * 83 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010268 1    72*****    16* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010269 1    73*****    12* 1 ** **00000000 **1******1 LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010270 1    60*****     9* 1 ** **00000000 *******11* LC 014960.4 030328.1  43 * 40 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010271 1    62*****    12* 1 ** **00000000 **1****1** LC 014960.4 030328.1  43 * 63 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010272 1    62*****    13* 2 ** **00000000 **1******* LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010273 1    63*****    13* 2 ** **00000000 *11******* LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010274 1    65*****    11* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010275 1    84*****    19* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010276 1    72*****    16* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 80 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010277 1    65*****    14* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010278 1    67*****    11* 1 ** **00000000 ***1****** LC 014960.4 030328.1  43 * 51 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010279 1    61*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 56 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010280 1    79*****    14* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 66 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010281 1    76*****    16* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010282 1    63*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010283 1    65*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 56 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010284 1    65*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010285 1    77*****    17* 2 ** **00000000 ***1****1* LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010286 1    67*****    11* 1 ** **00000000 ***1111*1* LC 014960.4 030328.1  43 * 55 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010287 1    63*****    11* 1 ** **00000000 *****1**** LC 014960.4 030328.1  43 * 55 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010288 1    71*****    17* 2 ** **00000000 ****1***** LC 014960.4 030328.1  43 * 80 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010289 1    87*****    17* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010290 1    61*****    12* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010291 1    80*****    17* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 * 40 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010292 1    74*****    16* 2 ** **00000000 ********1* LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010293 1    71*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010294 1    73*****    15* 2 ** **00000000 *1******** LC 014960.4 030328.1  43 * 65 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010295 1    70*****    14* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010296 1    63*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 57 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010297 1    70*****  14.5* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010298 1    73*****    13* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010299 1    62*****    10* 1 ** **00000000 **1******* LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010300 1    60*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 61 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010301 1    67*****    15* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010302 1    62*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010303 1    66*****    14* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010304 1    35***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010305 1    40*****     6* 1 ** **00000000 *******11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010306 1    40*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010307 1    45*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010308 1    51*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010309 1    47*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010310 1    52*****   8.2* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010311 1    50*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010312 1    48*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010313 1    65*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010314 1    68*****  11.5* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010315 1    53*****  10.5* 2 ** **00000000 **11*1**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010316 1    63*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 52 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010317 1    67*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010318 1    63*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 67 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010319 1    68*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010320 1    62*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 67 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010321 1    51*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010322 1    59*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010323 2    59   42 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010324 2    48   34 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010325 2    50   33 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010326 2    63   46 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010327 2    60   42 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010328 2    51   33 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010329 2    63   43 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010330 2    60   42 ****** 2 ** 1400000000 *1**1**11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010331 2    59   41 ****** 2 ** 1400000000 ****1***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010332 2    52   34 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010333 2    60   39 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010334 2    59   38 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010335 2    51   33 ****** 2 ** 2400000000 **1******1 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010336 2    61   39 ****** 2 ** 1400000000 **11****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010337 2    56   37 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010338 2    49   32 ****** 2 ** 1400000000 **1******* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010339 2    59   43 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010340 2    56   37 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010341 2    58   35 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010342 2    49   32 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010343 2    67   44 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010344 2    59   39 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010345 2    54   37 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010346 2    61   42 ****** 2 ** 2400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010347 2    59   41 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010348 2    50   33 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010349 2    55   39 ****** 2 ** 1400000000 *1*22***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010350 2    63   41 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010351 2    52   33 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010352 2    52   32 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010353 2    59   40 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010354 2    50   37 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010355 2    56   40 ****** 2 ** 1400000000 ****2***** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010356 2    50   33 ****** 2 ** 1200000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010357 2    54   47 ****** 2 ** 1400000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
