 29072005 12    3 0060156 2 27.9611.74 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060157 2 28.5511.85 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060158 2 26.6810.97 ****** 1  1 **00000000 **2***111* LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060159 2 25.9511.16 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060160 2 26.7111.08 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060161 2 35.4115.59 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060162 2 28.8411.95 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060163 2 26.7910.76 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060164 2 31.2313.14 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060165 2 27.9411.61 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060166 2 24.69 9.81 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060167 2 29.5311.62 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060168 2 29.4312.68 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060169 2 30.2412.01 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060170 2 28.0910.86 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060171 2 32.1214.73 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060172 2 27.7911.71 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060173 2 22.66 8.49 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060174 2 26.45 9.90 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060175 2 28.2111.64 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060176 2 29.1312.06 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060177 2 30.6912.22 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060178 2 28.6112.38 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060179 2 28.7311.80 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060180 2 28.7911.62 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
