 08081994 12    3 0110001 1    61*****    13* 5 ** **00000000 *1**1***** LC 014886.0 029610.1  47 * 61 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110133 2    60   40 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110134 2    56   39 ****** 3 ** 1400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110135 2    54   34 ****** 3 ** 1400000000 ***1****** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110136 2    54   35 ****** 3 ** 2400000000 *********2 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110137 2    54   38 ****** 3 ** 1400000000 *11*****1* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110138 2    57   39 ****** 3 ** 1100000000 *11**11111 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110139 2    46   31 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110140 2    57   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110141 2    46   30 ****** 3 ** 1400000000 *******1*1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110142 2    54   36 ****** 3 ** 2400000000 *1*******1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110143 2    54   36 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110144 2    57   38 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110145 2    55   37 ****** 3 ** 2400000000 1********* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110146 2    49   33 ****** 3 ** 1400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110147 2    61   40 ****** 3 ** 2400000000 *******11* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110148 2    56   39 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110149 2    59   40 ****** 3 ** 1400000000 ****1***** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110150 2    49   33 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110151 2    67   43 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110152 2    56   35 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110153 2    48   31 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110154 2    52   34 ****** 3 ** 1400000000 ****1**1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110155 2    43   28 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110156 2    57   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110157 2    72   48 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110158 2    45   29 ****** 3 ** 1400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110159 2    48   33 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110160 2    48   31 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110161 2    58   41 ****** 3 ** 1400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110162 2    62   43 ****** 3 ** 1400000000 ******1**1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110163 2    57   37 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110164 2    48   31 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110165 2    47   31 ****** 3 ** 2400000000 *****1**** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110166 2    49   33 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110167 2    52   34 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110168 2    63   42 ****** 3 ** 1400000000 ****1*1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110169 2    57   37 ****** 3 ** 1400000000 *****1**** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110170 2    46   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110171 2    53   34 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110172 2    57   37 ****** 3 ** 1400000000 ******1**1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110173 2    52   36 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110174 2    52   34 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
