 09082010 12    3 0070113 2 26.8011.23 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070114 2 33.8614.80 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070115 2 33.9815.32 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070116 2 33.2114.33 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070117 2 33.9915.05 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070118 2 34.4314.92 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070119 2 38.2818.10 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070120 2 35.1215.60 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070121 2 27.7111.06 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070122 2 33.8315.18 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070123 2 25.6310.00 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070124 2 32.5713.77 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070125 2 26.9210.32 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070126 2 26.3810.89 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070127 2 27.5611.44 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070128 2 27.3210.93 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070129 2 33.9214.39 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070130 2 30.3312.99 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
