"depth.m.","date","temperature"
75,2020-06-14,0.38
76,2020-06-14,0.38
77,2020-06-14,0.38
78,2020-06-14,0.38
79,2020-06-14,0.38
2,2020-06-15,10.66
3,2020-06-15,10.8
4,2020-06-15,10.48
5,2020-06-15,10.39
6,2020-06-15,10.33
7,2020-06-15,9.89
8,2020-06-15,9.56
9,2020-06-15,9.31
10,2020-06-15,9.22
11,2020-06-15,9.24
12,2020-06-15,8.98
13,2020-06-15,8.67
14,2020-06-15,8.18
15,2020-06-15,7.03
16,2020-06-15,6.41
17,2020-06-15,6.25
18,2020-06-15,6.07
19,2020-06-15,5.91
20,2020-06-15,5.77
21,2020-06-15,5.6
22,2020-06-15,5.46
23,2020-06-15,5.34
24,2020-06-15,5.17
25,2020-06-15,5.08
26,2020-06-15,4.66
27,2020-06-15,3.97
28,2020-06-15,3.76
29,2020-06-15,3.85
30,2020-06-15,3.81
31,2020-06-15,3.43
32,2020-06-15,3.06
33,2020-06-15,2.82
34,2020-06-15,2.73
35,2020-06-15,2.55
36,2020-06-15,2.35
37,2020-06-15,2.29
38,2020-06-15,2.1
39,2020-06-15,1.92
40,2020-06-15,1.88
41,2020-06-15,1.85
42,2020-06-15,1.47
43,2020-06-15,1.16
44,2020-06-15,1.05
45,2020-06-15,0.87
46,2020-06-15,0.77
47,2020-06-15,0.69
48,2020-06-15,0.59
49,2020-06-15,0.42
50,2020-06-15,0.32
51,2020-06-15,0.25
52,2020-06-15,0.18
53,2020-06-15,0.12
54,2020-06-15,0.09
55,2020-06-15,0.05
56,2020-06-15,0.03
57,2020-06-15,0.04
58,2020-06-15,0.06
59,2020-06-15,0.07
60,2020-06-15,0.12
61,2020-06-15,0.17
62,2020-06-15,0.21
63,2020-06-15,0.23
64,2020-06-15,0.25
65,2020-06-15,0.26
66,2020-06-15,0.27
67,2020-06-15,0.3
68,2020-06-15,0.31
69,2020-06-15,0.33
70,2020-06-15,0.36
71,2020-06-15,0.38
72,2020-06-15,0.39
73,2020-06-15,0.39
74,2020-06-15,0.39
75,2020-06-15,0.39
76,2020-06-15,0.39
77,2020-06-15,0.39
78,2020-06-15,0.39
79,2020-06-15,0.39
2,2020-06-16,11.52
3,2020-06-16,11.15
4,2020-06-16,10.69
5,2020-06-16,10.44
6,2020-06-16,10.36
7,2020-06-16,10.2
8,2020-06-16,9.92
9,2020-06-16,9.89
10,2020-06-16,10.04
11,2020-06-16,10.1
12,2020-06-16,10.32
13,2020-06-16,10.43
14,2020-06-16,10.3
15,2020-06-16,10.07
16,2020-06-16,9.79
17,2020-06-16,9.43
18,2020-06-16,8.76
19,2020-06-16,7.83
20,2020-06-16,7.09
21,2020-06-16,6.72
22,2020-06-16,6.24
23,2020-06-16,5.86
24,2020-06-16,5.56
25,2020-06-16,4.99
26,2020-06-16,4.47
27,2020-06-16,4.16
28,2020-06-16,3.99
29,2020-06-16,3.71
30,2020-06-16,3.36
31,2020-06-16,2.98
32,2020-06-16,2.85
33,2020-06-16,2.69
34,2020-06-16,2.46
35,2020-06-16,2.24
36,2020-06-16,1.99
37,2020-06-16,1.76
38,2020-06-16,1.63
39,2020-06-16,1.52
40,2020-06-16,1.35
41,2020-06-16,1.16
42,2020-06-16,1.06
43,2020-06-16,0.9
44,2020-06-16,0.81
45,2020-06-16,0.69
46,2020-06-16,0.56
47,2020-06-16,0.45
48,2020-06-16,0.33
49,2020-06-16,0.27
50,2020-06-16,0.24
51,2020-06-16,0.17
52,2020-06-16,0.13
53,2020-06-16,0.09
54,2020-06-16,0.03
55,2020-06-16,0.01
56,2020-06-16,0.03
57,2020-06-16,0.05
58,2020-06-16,0.08
59,2020-06-16,0.09
60,2020-06-16,0.12
61,2020-06-16,0.17
62,2020-06-16,0.22
63,2020-06-16,0.26
64,2020-06-16,0.28
65,2020-06-16,0.31
66,2020-06-16,0.33
67,2020-06-16,0.36
68,2020-06-16,0.37
69,2020-06-16,0.37
70,2020-06-16,0.39
71,2020-06-16,0.41
72,2020-06-16,0.42
73,2020-06-16,0.43
74,2020-06-16,0.43
75,2020-06-16,0.43
76,2020-06-16,0.43
77,2020-06-16,0.43
78,2020-06-16,0.43
79,2020-06-16,0.44
2,2020-06-17,12.65
3,2020-06-17,12.6
4,2020-06-17,12.35
5,2020-06-17,12.25
6,2020-06-17,12.07
7,2020-06-17,11.88
8,2020-06-17,11.06
9,2020-06-17,10.18
10,2020-06-17,10.07
