C1200,C1224,C1510,C1600,C1810,C1823,C1827,C1930,C2893,C3100,C3200,C3700,C4200,C8113,C8200,C8300,C8324,C8500,C9200,C9300,C9302,C9303,C9304,C9400,C9630,class_data,DATE,GPnum,GPnum_wt_year,Location,P1200,P1224,P1510,P1600,P1810,P1823,P1827,P1930,P2893,P3100,P3200,P3700,P4200,P8113,P8200,P8300,P8324,P8500,P9200,P9300,P9302,P9303,P9304,P9400,P9630,TCseapen,TCsponge,TCsponge2,timestamp,TPseapen,TPsponge,TPsponge2,TRAWLNUM,TWseapen,TWsponge,TWsponge2,W1200,W1224,W1510,W1600,W1810,W1823,W1827,W1930,W2893,W3100,W3200,W3700,W4200,W8113,W8200,W8300,W8324,W8500,W9200,W9300,W9302,W9303,W9304,W9400,W9630
,,,,,3,,,,,,,,,,,,1,,,,,,,,,2021-07-23,GP138F,G21_GP138F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-23 12:08:34,,,,6,,,,,,,,,0.27,,,,,,,,,,,,0.49,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23,GP165F,G21_GP165F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23 13:17:11,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-23,GP165A1,G21_GP165A1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-23 14:18:30,,1,,8,,2.09,,,,,,,,,,,,,,,,,,,0.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23,GP166F,G21_GP166F,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2021-07-23 15:20:48,,1,,9,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,15,,,,,,,,,,,2021-07-23,GP187F,G21_GP187F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2021-07-23 16:50:17,,,,10,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-23,GP203F,G21_GP203F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,2021-07-23 19:20:01,,1,,11,,3.11,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP181F,G21_GP181F,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2021-07-24 05:15:04,,1,,1,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP180F,G21_GP180F,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2021-07-24 06:03:43,,1,,2,,3.14,,,,,,0.32,,,,,,,,,,,,,,,,,,,,
,,,,,9,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP153F,G21_GP153F,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2021-07-24 07:12:55,,,,3,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP169F,G21_GP169F,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-24 08:53:25,,1,,4,,0.12,,,,,,0.02,,,,,,,,,,,,,1.02,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP185F,G21_GP185F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-24 09:42:46,,,,5,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP201F,G21_GP201F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24 10:57:15,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP227F,G21_GP227F,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-24 11:48:46,,1,,7,,0.57,,,,,,0.04,,,,,,,,,,,,,0.42,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP230F,G21_GP230F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-24 13:55:42,,1,,8,,0.11,,,,,,,,,,,,,,,,,,,0.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP249F,G21_GP249F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24 14:50:19,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24,GP249A1,G21_GP249A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-24 15:38:41,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP249A2,G21_GP249A2,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-24 16:45:03,,,,11,,,,,,,,,1.06,,,,,,,,,,,,0.46,,,,,,,
,,,,,99,,,,,,,,,,,,1,,,,,,,,,2021-07-24,GP243F,G21_GP243F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-24 18:00:43,,,,12,,,,,,,,,12.73,,,,,,,,,,,,2.01,,,,,,,
,,,,,10,,,,,,,,,,,,2,,,,,,,,,2021-07-24,GP261F,G21_GP261F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-24 19:00:10,,,,13,,,,,,,,,0.96,,,,,,,,,,,,1.92,,,,,,,
