 25091993 19    3 0040001 1    42***** ****** 1 ** **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040179 2    68   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040180 2    66   46 ****** 3M** 2400000000 *11****1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040181 2    73   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040182 2    78   51 ****** 3M** *000000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040183 2    59   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040184 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040185 2    67   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040186 2    65   46 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040187 2    66   50 ****** 3M** 2400000000 *11***1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040188 2    56   40 ****** 3M** 1400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040189 2    55   37 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040190 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040191 2    52   35 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040192 2    70   49 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040193 2    64   45 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040194 2    60   42 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040195 2    47   31 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040196 2    59   42 ****** 3M** 2400000000 ********1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040197 2    65   45 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040198 2    62   41 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040199 2    67   44 ****** 3M** 2400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040200 2    64   44 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040201 2    61   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040202 2    47   30 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040203 2    58   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040204 2    63   47 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040205 2    74   47 ****** 3M** 2400000000 ********11 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040206 2    63   43 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040207 2    52   37 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040208 2    57   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040209 2    59   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040210 2    58   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040211 2    68   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040212 2    57   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040213 2    58   40 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040214 2    74   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040215 2    68   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040216 2    60   42 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040217 2    73   48 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040218 2    61   43 ****** 3M** 1400000000 1**1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040219 2    58   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040220 2    70   47 ****** 3M** 1100000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040221 2    56   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040222 2    63   42 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040223 2    69   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040224 2    68   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040225 2    67   47 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040226 2    60   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040227 2    60   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040228 2    70   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040229 2    64   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040230 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040231 2    65   45 ****** 3M** 1400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040232 2    62   42 ****** 3M** 1400000000 **1****1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040233 2    65   42 ****** 3M** 1400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040234 2    60   40 ****** 3M** 2400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040235 2    70   48 ****** 3M** *000000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040236 2    69   45 ****** 3M** 1400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040237 2    70   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040238 2    59   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040239 2    63   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040240 2    55   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040241 2    63   44 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040242 2    69   45 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040243 2    68   45 ****** 3M** 1200000000 **1*1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040244 2    63   44 ****** 3M** 1400000000 *****1**1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040245 2    60   39 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040246 2    65   45 ****** 3M** 2400000000 **1*1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040247 2    63   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040248 2    69   46 ****** 3M** 2400000000 *1******11 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040249 2    47   33 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040250 2    51   33 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040251 2    58   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040252 2    47   32 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040253 2    73   50 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040254 2    61   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040255 2    59   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040256 2    58   39 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040257 2    55   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040258 2    67   46 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040259 2    60   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040260 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040261 2    62   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040262 2    58   40 ****** 3M** 2400000000 ******1*1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040263 2    69   47 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040264 2    74   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040265 2    68   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040266 2    68   47 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040267 2    56   40 ****** 3M** 2400000000 ********1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040268 2    63   42 ****** 3M** 2400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040269 2    66   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040270 2    55   37 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040271 2    65   45 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040272 2    60   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040273 2    60   41 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040274 2    68   45 ****** 3M** 2400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040275 2    67   42 ****** 3M** *000000000 1**1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040276 2    67   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040277 2    54   36 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040278 2    58   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040279 2    62   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040280 2    82   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040281 2    62   43 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040282 2    63   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040283 2    68   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040284 2    61   41 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040285 2    64   43 ****** 3M** 2400000000 *******11* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040286 2    58   40 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040287 2    72   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040288 2    63   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040289 2    63   42 ****** 3M** 2400000000 ********11 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040290 2    72   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040291 2    65   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040292 2    70   50 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040293 2    62   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040294 2    58   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040295 2    60   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040296 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040297 2    55   37 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040298 2    63   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040299 2    70   51 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040300 2    71   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040301 2    74   50 ****** 3M** 2400000000 **11****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040302 2    64   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040303 2    73   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040304 2    70   48 ****** 3M** 2400000000 *1*1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040305 2    68   48 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040306 2    58   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040307 2    61   41 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040308 2    56   38 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040309 2    70   46 ****** 3M** *000000000 ***11****1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040310 2    64   43 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040311 2    61   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040312 2    64   43 ****** 3M** 2400000000 1***1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040313 2    64   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040314 2    68   46 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040315 2    62   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040316 2    69   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040317 2    64   44 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040318 2    62   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040319 2    62   40 ****** 3M** 2400000000 ****11***1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040320 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040321 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040322 2    64   46 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040323 2    61   40 ****** 3M** 2400000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040324 2    66   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040325 2    60   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040326 2    56   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040327 2    60   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040328 2    71   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040329 2    63   42 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040330 2    55   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040331 2    54   37 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040332 2    62   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040333 2    62   42 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040334 2    57   38 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040335 2    57   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040336 2    59   39 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040337 2    57   40 ****** 3M** 1400000000 *1******1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040338 2    60   40 ****** 3M** 2400000000 1********* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040339 2    58   40 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040340 2    54   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040341 2    62   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040342 2    72   50 ****** 3M** 1200000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040343 2    63   44 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040344 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040345 2    64   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040346 2    63   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040347 2    52   36 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040348 2    61   41 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040349 2    63   43 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040350 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040351 2    67   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040352 2    62   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040353 2    63   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040354 2    61   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040355 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040356 2    59   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040357 2    54   35 ****** 3M** 2400000000 1**11***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
