 01102004 19    3 0050081 2 51.2525.29 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050082 2 53.2527.17 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050083 2 48.5424.31 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050084 2 45.5222.13 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050085 2 52.0527.46 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050086 2 35.4716.75 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050087 2 37.9117.88 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050088 2 35.4016.63 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050089 2 44.3420.76 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050090 2 36.7916.66 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050091 2 40.0919.54 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050092 2 39.7819.59 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050093 2 42.9821.39 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050094 2 35.0416.30 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050095 2 30.2712.92 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050096 2 34.3415.79 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050097 2 40.2218.83 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050098 2 40.8318.97 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050099 2 36.7816.58 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050100 2 39.7618.64 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050101 2 31.0913.48 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050102 2 29.6712.08 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050103 2 27.6412.06 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050104 2 33.4415.21 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050105 2 27.5411.12 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050106 2 37.5617.93 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050107 2 36.8716.71 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050108 2 29.7612.65 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050109 2 30.0713.30 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050110 2 31.2713.15 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050111 2 27.0610.40 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050112 2 29.7312.37 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050113 2 35.5215.86 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050114 2 28.3811.23 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050115 2 28.4112.06 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050116 2 27.2210.88 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050117 2 36.3915.56 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050118 2 27.4811.02 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050119 2 25.25 9.78 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050120 2 24.14 9.34 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050121 2 38.1217.23 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050122 2 22.15 8.50 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050123 1 30.49*****  3.99* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *               
