 06081990 12    3 0010001 2    48***** ****** 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** MANQUE ABDOMEN   
 06081990 12    3 0010182 2    64   43 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010183 2    52   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010184 1    61*****    10* 1 ** **00000000 **1*1***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010185 2    45   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010186 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010187 2    53   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010188 1    51*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010189 2    60   40 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010190 2    47   23 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010191 2    51   35 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010192 2    54   36 ****** 1 ** 2400000000 1*1****1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010193 2    47   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010194 2    54   36 ****** 1 ** 2400000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010195 1    67*****    11* 1 ** **00000000 ***1****** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010196 2    59   41 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010197 2    63   42 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010198 1    73*****    16* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010199 2    62   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010200 1    63*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010201 2    53   37 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010202 1    44*****     7* 1 ** **00000000 **1******* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010203 1    51*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010204 2    45   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010205 2    48   30 ****** 1 ** 2400000000 ******1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010206 2    56   37 ****** 1 ** 2400000000 ********1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010207 2    55   37 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010208 1    67*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010209 1    62*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010210 1    75*****    13* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010211 1    62*****    13* 3 ** **00000000 ****2***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010212 2    54   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010213 2    59   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010214 2    49   32 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010215 2    46   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010216 2    50   34 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010217 2    51   34 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010218 2    61   41 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010219 2    58   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010220 1    74*****    13* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010221 1    45*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010222 1    52*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010223 1    46*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010224 1    47*****     7* 1 ** **00000000 ********1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010225 1    45*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010226 1    46*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010227 2    62   43 ****** 2 ** 2400000000 *1******** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010228 1    44*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010229 2    50   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010230 1    48*****     9* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010231 2    45   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010232 2    57   37 ****** 1 ** 2400000000 ****1***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010233 1    69*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010234 2    47   31 ****** 1 ** 2400000000 ******2**2 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010235 2    45   23 ****** 1  3 **00000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010236 2    47   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010237 2    62   43 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010238 2    62   40 ****** 1 ** 2400000000 *1******** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010239 2    52   33 ****** 1 ** 2400000000 ********11 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010240 2    60   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010241 2    52   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010242 2    49   33 ****** 1 ** 2400000000 **21*1**** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010243 1    39*****     6* 1 ** **00000000 *****1*1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010244 1    50*****     7* 1 ** **00000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010245 1    41*****     6* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010246 1    48*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010247 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010248 2    46   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010249 1    45*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010250 2    43   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010251 2    48   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010252 2    45   22 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010253 2    40   20 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010254 2    54***** ****** 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** MANQUE ABDOMEN   
