Year,Month,Day,townumber,towid,species,numbercaught,weightcaught,presence,english,latin,french,species.logbook,comment
1990,6,27,5,32,41,30,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,5,32,598,2,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,5,32,2520,50,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,5,32,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle,
1990,6,27,5,32,6100,15,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),grosse étoile de mer,
1990,6,27,5,32,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,5,32,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,27,6,33,10,3,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,27,6,33,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,6,33,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,6,33,2520,30,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,6,33,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,6,33,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle,
1990,6,27,6,33,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,27,6,33,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,6,33,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,beaucoup
1990,6,27,7,34,10,NA,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue(petite),
1990,6,27,7,34,41,20,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,7,34,202,1,NA,1,Smooth skate,Malacoraja senta,Raie lisse,raie,
1990,6,27,7,34,598,3,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,7,34,2520,25,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,7,34,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,7,34,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,7,34,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,27,8,35,41,30,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,8,35,2520,10,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,8,35,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,8,35,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,27,9,36,41,NA,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,9,36,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,10,37,501,1,NA,1,Lumpfish,Cyclopterus lumpus,Grosse poule de mer,poule de mer,
1990,6,27,10,37,801,1,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
1990,6,27,10,37,2520,50,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,10,37,2800,NA,NA,1,Amphipoda o.,Amphipoda o.,Amphipodes,pou de mer,
1990,6,27,10,37,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,27,10,37,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,10,37,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,27,10,37,,1,NA,1,,,,lompénie,
1990,6,27,10,37,,NA,NA,1,,,,coque(cockles),
1990,6,27,11,38,10,8,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,27,11,38,41,20,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,11,38,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,11,38,2520,6,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,11,38,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,11,38,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,27,11,38,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,27,11,38,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,11,38,,NA,NA,1,,,,cockles,
1990,6,27,12,39,41,50,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,12,39,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,12,39,801,1,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
